Date,Product,Location,Quantity,Revenue
2023-01-01,Latte,Downtown,3,13.5
2023-01-01,Cappuccino,Downtown,2,8.0
2023-01-01,Latte,Suburb,5,22.5
2023-01-01,Latte,Suburb,4,18.0
2023-01-01,Latte,Downtown,1,4.5
2023-01-01,Cappuccino,Downtown,5,20.0
2023-01-01,Americano,Downtown,5,17.5
2023-01-01,Cappuccino,Suburb,5,20.0
2023-01-01,Mocha,Downtown,4,20.0
2023-01-01,Americano,Uptown,1,3.5
2023-01-01,Cappuccino,Suburb,4,16.0
2023-01-01,Espresso,Uptown,2,6.0
2023-01-01,Cappuccino,Uptown,1,4.0
2023-01-01,Latte,Uptown,1,4.5
2023-01-01,Espresso,Uptown,5,15.0
2023-01-01,Espresso,Downtown,4,12.0
2023-01-01,Americano,Downtown,4,14.0
2023-01-01,Latte,Suburb,3,13.5
2023-01-01,Americano,Uptown,5,17.5
2023-01-01,Cappuccino,Suburb,1,4.0
2023-01-01,Latte,Suburb,2,9.0
2023-01-01,Espresso,Downtown,2,6.0
2023-01-01,Latte,Uptown,3,13.5
2023-01-01,Mocha,Suburb,3,15.0
2023-01-01,Cappuccino,Uptown,3,12.0
2023-01-01,Cappuccino,Suburb,3,12.0
2023-01-01,Latte,Suburb,2,9.0
2023-01-01,Americano,Suburb,2,7.0
2023-01-01,Cappuccino,Uptown,4,16.0
2023-01-01,Espresso,Suburb,5,15.0
2023-01-01,Cappuccino,Suburb,3,12.0
2023-01-01,Latte,Downtown,1,4.5
2023-01-01,Espresso,Uptown,3,9.0
2023-01-01,Latte,Downtown,5,22.5
2023-01-01,Espresso,Downtown,4,12.0
2023-01-01,Mocha,Suburb,4,20.0
2023-01-01,Cappuccino,Uptown,2,8.0
2023-01-01,Cappuccino,Suburb,5,20.0
2023-01-01,Americano,Uptown,5,17.5
2023-01-01,Mocha,Suburb,4,20.0
2023-01-02,Cappuccino,Downtown,5,20.0
2023-01-02,Mocha,Downtown,1,5.0
2023-01-02,Latte,Downtown,2,9.0
2023-01-02,Mocha,Suburb,1,5.0
2023-01-02,Mocha,Uptown,5,25.0
2023-01-02,Mocha,Suburb,3,15.0
2023-01-02,Americano,Downtown,1,3.5
2023-01-02,Americano,Uptown,3,10.5
2023-01-02,Latte,Uptown,4,18.0
2023-01-02,Cappuccino,Uptown,1,4.0
2023-01-02,Espresso,Suburb,2,6.0
2023-01-02,Americano,Downtown,3,10.5
2023-01-02,Americano,Suburb,2,7.0
2023-01-02,Cappuccino,Uptown,2,8.0
2023-01-02,Americano,Suburb,1,3.5
2023-01-02,Americano,Uptown,4,14.0
2023-01-02,Latte,Downtown,3,13.5
2023-01-02,Espresso,Downtown,1,3.0
2023-01-02,Cappuccino,Suburb,1,4.0
2023-01-02,Latte,Suburb,4,18.0
2023-01-02,Latte,Suburb,2,9.0
2023-01-02,Cappuccino,Suburb,4,16.0
2023-01-02,Americano,Downtown,3,10.5
2023-01-02,Americano,Suburb,4,14.0
2023-01-02,Cappuccino,Suburb,2,8.0
2023-01-02,Espresso,Uptown,3,9.0
2023-01-02,Mocha,Suburb,4,20.0
2023-01-02,Latte,Downtown,2,9.0
2023-01-02,Latte,Uptown,1,4.5
2023-01-02,Americano,Suburb,2,7.0
2023-01-02,Americano,Downtown,1,3.5
2023-01-03,Latte,Downtown,1,4.5
2023-01-03,Latte,Uptown,1,4.5
2023-01-03,Americano,Downtown,3,10.5
2023-01-03,Mocha,Downtown,5,25.0
2023-01-03,Cappuccino,Suburb,5,20.0
2023-01-03,Americano,Uptown,2,7.0
2023-01-03,Mocha,Uptown,2,10.0
2023-01-03,Latte,Downtown,4,18.0
2023-01-03,Espresso,Uptown,4,12.0
2023-01-03,Mocha,Suburb,1,5.0
2023-01-03,Latte,Downtown,4,18.0
2023-01-03,Espresso,Downtown,2,6.0
2023-01-03,Cappuccino,Downtown,5,20.0
2023-01-03,Mocha,Downtown,4,20.0
2023-01-03,Cappuccino,Uptown,4,16.0
2023-01-03,Cappuccino,Downtown,4,16.0
2023-01-03,Americano,Downtown,1,3.5
2023-01-03,Americano,Downtown,1,3.5
2023-01-03,Cappuccino,Downtown,4,16.0
2023-01-03,Mocha,Uptown,2,10.0
2023-01-03,Mocha,Downtown,2,10.0
2023-01-03,Mocha,Downtown,4,20.0
2023-01-04,Mocha,Uptown,4,20.0
2023-01-04,Americano,Suburb,4,14.0
2023-01-04,Cappuccino,Downtown,3,12.0
2023-01-04,Cappuccino,Downtown,5,20.0
2023-01-04,Americano,Downtown,3,10.5
2023-01-04,Latte,Downtown,5,22.5
2023-01-04,Mocha,Suburb,5,25.0
2023-01-04,Cappuccino,Downtown,5,20.0
2023-01-04,Latte,Downtown,1,4.5
2023-01-04,Americano,Downtown,2,7.0
2023-01-04,Mocha,Downtown,5,25.0
2023-01-04,Cappuccino,Suburb,5,20.0
2023-01-04,Latte,Suburb,1,4.5
2023-01-04,Mocha,Suburb,5,25.0
2023-01-04,Americano,Suburb,3,10.5
2023-01-04,Espresso,Downtown,3,9.0
2023-01-04,Cappuccino,Uptown,4,16.0
2023-01-04,Cappuccino,Suburb,3,12.0
2023-01-04,Mocha,Uptown,1,5.0
2023-01-04,Latte,Uptown,5,22.5
2023-01-04,Americano,Downtown,1,3.5
2023-01-04,Americano,Downtown,5,17.5
2023-01-04,Espresso,Downtown,3,9.0
2023-01-04,Latte,Downtown,3,13.5
2023-01-04,Espresso,Downtown,4,12.0
2023-01-04,Americano,Suburb,3,10.5
2023-01-04,Americano,Suburb,5,17.5
2023-01-04,Latte,Suburb,5,22.5
2023-01-05,Latte,Downtown,3,13.5
2023-01-05,Latte,Downtown,5,22.5
2023-01-05,Cappuccino,Uptown,3,12.0
2023-01-05,Americano,Downtown,3,10.5
2023-01-05,Cappuccino,Suburb,3,12.0
2023-01-05,Americano,Uptown,3,10.5
2023-01-05,Latte,Downtown,4,18.0
2023-01-05,Espresso,Downtown,1,3.0
2023-01-05,Espresso,Downtown,3,9.0
2023-01-05,Cappuccino,Suburb,4,16.0
2023-01-05,Americano,Suburb,4,14.0
2023-01-05,Americano,Downtown,1,3.5
2023-01-05,Latte,Suburb,2,9.0
2023-01-05,Americano,Downtown,3,10.5
2023-01-05,Americano,Suburb,2,7.0
2023-01-05,Mocha,Downtown,1,5.0
2023-01-05,Espresso,Uptown,1,3.0
2023-01-05,Espresso,Downtown,2,6.0
2023-01-05,Latte,Uptown,5,22.5
2023-01-05,Mocha,Suburb,2,10.0
2023-01-05,Cappuccino,Downtown,2,8.0
2023-01-05,Mocha,Downtown,2,10.0
2023-01-05,Espresso,Uptown,2,6.0
2023-01-05,Espresso,Downtown,1,3.0
2023-01-05,Mocha,Downtown,4,20.0
2023-01-05,Cappuccino,Downtown,4,16.0
2023-01-05,Espresso,Uptown,2,6.0
2023-01-05,Cappuccino,Downtown,2,8.0
2023-01-05,Mocha,Uptown,3,15.0
2023-01-06,Latte,Uptown,3,13.5
2023-01-06,Americano,Uptown,5,17.5
2023-01-06,Espresso,Downtown,1,3.0
2023-01-06,Espresso,Downtown,5,15.0
2023-01-06,Espresso,Downtown,1,3.0
2023-01-06,Americano,Uptown,3,10.5
2023-01-06,Espresso,Uptown,5,15.0
2023-01-06,Americano,Downtown,4,14.0
2023-01-06,Americano,Downtown,3,10.5
2023-01-06,Latte,Suburb,4,18.0
2023-01-06,Latte,Suburb,5,22.5
2023-01-06,Cappuccino,Uptown,4,16.0
2023-01-06,Latte,Suburb,3,13.5
2023-01-06,Americano,Uptown,1,3.5
2023-01-06,Espresso,Suburb,3,9.0
2023-01-06,Mocha,Uptown,4,20.0
2023-01-06,Espresso,Suburb,2,6.0
2023-01-06,Cappuccino,Uptown,4,16.0
2023-01-06,Cappuccino,Suburb,5,20.0
2023-01-06,Espresso,Uptown,5,15.0
2023-01-06,Latte,Uptown,3,13.5
2023-01-06,Cappuccino,Uptown,5,20.0
2023-01-06,Americano,Suburb,3,10.5
2023-01-06,Mocha,Uptown,4,20.0
2023-01-06,Cappuccino,Suburb,4,16.0
2023-01-06,Cappuccino,Suburb,1,4.0
2023-01-06,Espresso,Suburb,5,15.0
2023-01-06,Espresso,Downtown,2,6.0
2023-01-06,Espresso,Downtown,2,6.0
2023-01-06,Cappuccino,Downtown,1,4.0
2023-01-06,Cappuccino,Uptown,5,20.0
2023-01-06,Latte,Uptown,4,18.0
2023-01-06,Americano,Downtown,4,14.0
2023-01-06,Mocha,Uptown,2,10.0
2023-01-06,Cappuccino,Suburb,1,4.0
2023-01-06,Latte,Uptown,2,9.0
2023-01-06,Cappuccino,Suburb,5,20.0
2023-01-06,Mocha,Downtown,5,25.0
2023-01-06,Cappuccino,Downtown,4,16.0
2023-01-06,Cappuccino,Uptown,5,20.0
2023-01-06,Americano,Suburb,3,10.5
2023-01-06,Mocha,Suburb,5,25.0
2023-01-06,Mocha,Suburb,4,20.0
2023-01-06,Cappuccino,Suburb,4,16.0
2023-01-06,Mocha,Uptown,2,10.0
2023-01-06,Espresso,Suburb,4,12.0
2023-01-06,Cappuccino,Uptown,4,16.0
2023-01-07,Espresso,Downtown,3,9.0
2023-01-07,Espresso,Uptown,5,15.0
2023-01-07,Latte,Downtown,2,9.0
2023-01-07,Cappuccino,Uptown,2,8.0
2023-01-07,Cappuccino,Downtown,4,16.0
2023-01-07,Mocha,Uptown,5,25.0
2023-01-07,Mocha,Uptown,1,5.0
2023-01-07,Cappuccino,Uptown,4,16.0
2023-01-07,Americano,Suburb,1,3.5
2023-01-07,Americano,Uptown,4,14.0
2023-01-07,Latte,Uptown,3,13.5
2023-01-07,Mocha,Uptown,5,25.0
2023-01-07,Americano,Suburb,2,7.0
2023-01-07,Mocha,Downtown,3,15.0
2023-01-07,Mocha,Uptown,1,5.0
2023-01-07,Mocha,Uptown,4,20.0
2023-01-07,Cappuccino,Uptown,2,8.0
2023-01-07,Americano,Suburb,1,3.5
2023-01-07,Mocha,Suburb,5,25.0
2023-01-07,Latte,Downtown,4,18.0
2023-01-07,Cappuccino,Uptown,2,8.0
2023-01-07,Latte,Uptown,4,18.0
2023-01-08,Cappuccino,Uptown,3,12.0
2023-01-08,Espresso,Uptown,3,9.0
2023-01-08,Mocha,Uptown,1,5.0
2023-01-08,Mocha,Downtown,5,25.0
2023-01-08,Latte,Uptown,2,9.0
2023-01-08,Latte,Suburb,1,4.5
2023-01-08,Latte,Downtown,2,9.0
2023-01-08,Latte,Suburb,2,9.0
2023-01-08,Cappuccino,Downtown,4,16.0
2023-01-08,Latte,Suburb,2,9.0
2023-01-08,Mocha,Suburb,3,15.0
2023-01-08,Espresso,Downtown,5,15.0
2023-01-08,Americano,Suburb,1,3.5
2023-01-08,Cappuccino,Uptown,1,4.0
2023-01-08,Americano,Downtown,3,10.5
2023-01-08,Americano,Suburb,4,14.0
2023-01-08,Mocha,Suburb,2,10.0
2023-01-08,Latte,Suburb,2,9.0
2023-01-08,Latte,Suburb,3,13.5
2023-01-08,Americano,Downtown,5,17.5
2023-01-08,Latte,Uptown,5,22.5
2023-01-08,Mocha,Suburb,3,15.0
2023-01-08,Latte,Suburb,3,13.5
2023-01-08,Latte,Uptown,4,18.0
2023-01-08,Latte,Uptown,3,13.5
2023-01-08,Mocha,Suburb,2,10.0
2023-01-08,Mocha,Downtown,5,25.0
2023-01-08,Espresso,Suburb,5,15.0
2023-01-08,Mocha,Uptown,4,20.0
2023-01-08,Americano,Uptown,3,10.5
